EmployerName,Position,RegularPay,TotalWages
"University of California, Santa Barbara",Stdt 1,4918,4927
"University of California, Irvine",Clin Nurse 2,111723,128133
"University of California, Los Angeles",Stdt 3,5875,5892
"University of California, Irvine",Stdt 4,998,1008
"University of California, Davis",Postdoc-Employee,10773,10773
"University of California, Irvine",Lect Psoe-Ay-B/E/E,100138,112027
"University of California, Davis",Veterinarian 3,136040,136040
"University of California, Irvine",Blank Ast 3,53966,54236
"University of California, Santa Cruz",Financial Anl 3,60764,60764
"University of California, San Diego",Stdt Activities Appt Official,0,625
"University of California, Los Angeles",Admin Care Clin Partner Pd,33765,34744
"University of California, San Diego",Cook Sr,50926,53439
"University of California, San Diego",Phlebotomist Cert Tchn 2,56886,63476
"University of California, Berkeley",Phys Plt Laborer Gardener Ld,65163,93482
"University of California, San Diego",Stdt 4,11894,11894
"University of California, San Francisco",SRA 4,17653,35789
"University of California, Berkeley",Teachg Asst-1/10-Gship,13541,13541
"University of California, San Diego",Oth Post-Md Train 2-8/Rep,48776,51776
"University of California, San Francisco",Jr Specialist,11700,11700
"University of California, San Diego",Voc Nurse Sr,79049,83647
"University of California, San Francisco",Clin Nurse 2,125746,127136
"University of California, San Francisco",Resid Phys/Subspec 4-8/Rep,63938,77142
"University of California, Berkeley",Stdt 2,2366,2366
"University of California, San Francisco",Hosp Blank Ast 3,67674,70795
"University of California, Los Angeles",Postdoc-Employee,54815,54815
"University of California, Berkeley",SRA 4,67844,67844
"University of California, Merced",Stdt 3,1596,1596
"University of California, Los Angeles",Food Svc Worker,25291,27298
"University of California, Los Angeles",Clin Nurse 2,146879,149005
"University of California, Merced",Scrty Guard,37821,39357
"University of California, San Francisco",Hosp Lab Tchn 2,3389,3659
"University of California, Los Angeles",Storekeeping Supv 1,54889,55175
"University of California, Berkeley",SRA 2,28803,28803
"University of California, Los Angeles",Publ Educ Spec 2,52699,52702
"University of California, Santa Cruz",Stdt 4,154,154
"University of California, San Diego",Stdt 2,705,715
"University of California, San Francisco",Postdoc-Employee,55174,55174
"University of California, Davis",Pat Escort,52159,62917
"University of California, San Diego",Stdt 2 Wksty,2129,2129
"University of California, San Diego",SRA 1,57454,57454
"University of California, San Diego",Resid Phys II-Viii/Rep,26138,29138
"University of California, San Francisco",Asc Physcn Diplomate,33715,86992
"University of California, San Diego",Clin Informatics Spec 3,80201,81201
"University of California, Irvine",Clin Nurse 2,121825,174036
"University of California, Los Angeles",Ultrasound Tchno Sr,56783,65013
"University of California, Riverside",Govt Rel Spec 4,66371,74417
"University of California, San Francisco",Nurse Pd,95991,102102
"University of California, Berkeley",Postdoc-Employee,17750,17750
"University of California, Los Angeles",Echocardiographic Tchn Sr,133051,149379
"University of California, Los Angeles",Teachg Fellow-Gship,26496,26921
"University of California, Davis",Gsr-Full Fee Rem,4296,4296
"University of California, Berkeley",Teachg Asst-1/10-Gship,13541,13541
"University of California, San Francisco",Resid Phys II-Viii/Rep,69069,83945
"University of California, Davis",Asst Prof-Ay-B/E/E,111550,111820
"University of California, Davis",Gsr-Full Fee Rem,24398,24398
"University of California, Los Angeles",Gsr-Partial Fee Rem,11806,11806
"University of California, San Diego",Tut-Gship,25114,28747
"University of California, Irvine",Stdt 4 Wksty,6052,6052
"University of California, San Francisco",Teachg Asst-Non Gship/Non Rep,2784,4259
"University of California, Berkeley",Lect-Fy,8021,8021
"University of California, Davis",Clin Nurse 2,129446,140613
"University of California, San Francisco",Admin Ofcr 3,106053,110581
"University of California, Santa Cruz",Contracts And Grants Supv 2,102581,105341
"University of California, San Francisco",Stdt Aid Outside Agency,4863,4863
"University of California, San Diego",Stdt Researcher,46,46
"University of California, Los Angeles",Progr Anl 3,7310,22537
"University of California, Riverside",Reader-Non Gship,592,592
"University of California, Davis",Gsr-Full Fee Rem,14771,14771
"University of California, San Diego",Med Ctr Custodian,40706,50251
"University of California, Santa Cruz",Miscellaneous,0,6581
"University of California, Los Angeles",Lect-Ay-Continuing,70631,70681
"University of California, Irvine",Teachg Asst-Gship,2508,2508
"University of California, Davis",Gsr-Full Fee Rem,29857,29857
"University of California, Los Angeles",Asc Physcn Diplomate,149272,440807
"University of California, Los Angeles",Admin Anl Sr,40220,46459
"University of California, Los Angeles",Custodian Sr,47628,50495
"University of California, San Francisco",Gsr-Full Fee Rem,41527,41527
"University of California, San Diego",Hosp Ast 3 Pd,45983,51794
"University of California, San Diego",Custodian Sr,8606,9205
"University of California, Davis",Stf Pharmacist 2,167253,200026
"University of California, Berkeley",Rsch Adm 2,68686,68686
"University of California, Davis",Applications Progr 3,71810,72510
"University of California, Los Angeles",Admin Spec,56861,57804
"University of California, Merced",Reader-Non Gship,629,629
"University of California, Davis",Stdt 3,4290,4290
"University of California, San Francisco",Resid Phys II-Viii/Rep,69069,83645
"University of California, Davis",Stdt Volunteer,0,2368
"University of California, San Diego",Stdt 3,4118,4137
"University of California, Riverside",Blank Ast 3,16013,17980
"University of California, Davis",Tchn,27498,28509
"University of California, Santa Barbara",Asst Prof-Ay-B/E/E,104825,124258
"University of California, Santa Barbara",Stdt 1,3390,3390
"University of California, Irvine",Clin Nurse 2,115793,118375
"University of California, San Diego",Prof-Ay-B/E/E,255067,339667
"University of California, Los Angeles",Blank Ast 2,44822,46072
"University of California, Los Angeles",Blank Ast 2,1094,2838
"University of California, Irvine",Fundraiser 5,215500,221976
"University of California, Los Angeles",Blank Ast 3,24826,28629
"University of California, San Diego",Resid Phys II-Viii/Rep,66268,72268
"University of California, Los Angeles",Stdt 1,870,870
"University of California, Merced",Rsch Adm 3,62086,62240
"University of California, Berkeley",Stdt 2,3395,3395
"University of California, San Francisco",Health Profns Educ Mgr 1,139412,144412
"University of California, San Diego",SRA 2,57121,57121
"University of California, San Francisco",Med Ctr Food Svc Worker Sr,56313,72824
"University of California, Irvine",Case Mgr Ex,122620,123700
"University of California, San Diego",Hosp Blank Ast 3,61386,65115
"University of California, Los Angeles",SRA 3,9539,32486
"University of California, San Diego",Gsr-No Rem,8261,8261
"University of California, Riverside",Blank Ast 3,50382,51382
"University of California, Los Angeles",Admin Care Clin Partner Pd,10916,11533
"University of California, San Diego",Assoc Prof-Ay,125417,167017
"University of California, Davis",Hosp Blank Ast 2,4976,5100
"University of California, Berkeley",Bus Tchl Supp Anl 3 Tx,70609,70609
"University of California, Davis",Stdt 4,3085,3085
"University of California, San Diego",Proj Scientist-Fy,122642,122642
"University of California, Berkeley",Stdt 2,2636,2636
"University of California, Berkeley",Stdt 2,1875,1875
"University of California, Davis",Pat Biller 3,52252,53566
"University of California, San Francisco",Blank Ast 3,38663,51716
"University of California, Riverside",Lect-Miscellaneous/Part Time,0,1283
"University of California, Berkeley",Stdt Volunteer,0,392
"University of California, San Diego",Med Ast 2,45103,49416
"University of California, San Diego",Hosp Blank Ast 3,60579,63614
"University of California, Davis",Med Ctr Food Svc Worker Prn,17930,21186
"University of California, San Diego",Med Ctr Custodian,33050,36792
"University of California, Los Angeles",Child Dev Ctr Teacher 2,46114,46545
"University of California, Santa Barbara",Stdt 1,6062,6062
"University of California, San Diego",Postdoc-Employee,58249,58249
"University of California, Los Angeles",Fundraiser 3,77825,79075
"University of California, Los Angeles",Med Ctr Parking Repr Ld,53142,61913
"University of California, Berkeley",Gsr-Partial Fee Rem,31343,31343
"University of California, Davis",Stdt 2,1666,1666
"University of California, Riverside",Reg Dental Ast,66333,67333
"University of California, Los Angeles",Coll Repr,47474,52722
"University of California, San Francisco",Assoc Adj Prof-Hcomp,124933,129166
"University of California, Santa Cruz",Blank Ast 3,21092,21277
"University of California, San Diego",Nurse Pract 2,93580,94994
"University of California, Berkeley",Custodian,32820,35126
"University of California, San Diego",Ultrasound Tchno Sr,130445,150475
"University of California, San Francisco",Trainer 5,190176,191176
"University of California, Berkeley",Stdt 2,3233,3233
"University of California, Irvine",Reg Resp Ther Pd,90237,103292
"University of California, Berkeley",K To 14 Acad Prep Mgr 1,121284,133927
"University of California, Los Angeles",Clin Nurse 2,62891,75635
"University of California, San Diego",Clin Rsch Crd Ast,11648,11648
"University of California, San Francisco",Postdoc-Fellow,591,4924
"University of California, Irvine",Stdt It,11148,11148
"University of California, Berkeley",Gsr-Full Fee Rem,33415,33415
"University of California, San Francisco",Clin Nurse 2,169415,205544
"University of California, San Diego",Clin Applications Profl 4,118602,119602
"University of California, Davis",Spc Stdt Bya,0,1106
"University of California, Berkeley",Teachg Asst-1/10-Gship,2257,2257
"University of California, Santa Barbara",Stdt 1,1470,1470
"University of California, Irvine",Stdt 4,8200,8200
"University of California, Riverside",Admissions Recrmt Mgr 1,97913,99913
"University of California, San Francisco",Stdt Intern,3173,3173
"University of California, San Francisco",Case Mgr Ex,193499,202748
"University of California, Merced",Postdoc-Employee,54273,54273
"University of California, Irvine",Stdt 4,3017,3017
"University of California, San Diego",Health Profns Educ Spec 3,57705,59331
"University of California, San Diego",Med Ast 2,48502,55117
"University of California, Davis",Teachg Asst-Gship,25233,27166
"University of California, Berkeley",Stdt 3,503,503
"University of California, San Francisco",Admin Ofcr 3,71922,75922
"University of California, Davis",Stdt 2,3640,3640
"University of California, Irvine",Stdt 4,847,847
"University of California, Berkeley",Teacher-Spec Prog,1100,1100
"University of California, Los Angeles",Pat Comm Repr,39464,41385
"University of California, Davis",Stdt Svc Advisor 3,17974,19051
"University of California, Los Angeles",Prof-Hcomp,352383,397650
"University of California, Santa Cruz",Asst Prof-Ay,44117,44117
"University of California, San Diego",Postdoc-Employee,7296,7296
"University of California, San Diego",Tut-Gship,393,393
"University of California, San Diego",Radlg Tchno Prn Pd,13228,14373
"University of California, Davis",Sra 1,8705,8821
"University of California, Santa Cruz",Asst Prof-Ay,100417,100417
"University of California, San Diego",Stdt Svc Advisor 2,37751,38734
"University of California, San Francisco",Clin Applications Profl 5,171280,179759
"University of California, San Francisco",Clin Lab Sci Spec,66308,67147
"University of California, Los Angeles",Food Svc Worker,4627,5303
"University of California, Los Angeles",Accountant 2 Ex,76238,78285
"University of California, San Francisco",Assoc Prof Of Clin-Hcomp,133333,242044
"University of California, San Francisco",Nurse Pd,21865,23404
"University of California, Davis",Clin Nurse 2,110355,122221
"University of California, San Diego",SRA 2 Nex,41100,41100
"University of California, San Diego",Clin Lab Sci Spec,127121,151861
"University of California, Santa Barbara",Admissions Evaluator 3,5717,5802
"University of California, Los Angeles",Mason,77126,77140
"University of California, Berkeley",Stdt 3,59,59
"University of California, San Francisco",Clin Nurse 2,137077,165851
"University of California, Los Angeles",Clin Nurse 2,100113,105878
"University of California, Los Angeles",Stdt 3,1369,1369
"University of California, San Francisco",Nurse Pd,77076,80475
"University of California, San Diego",Bus Dev Hc Profl 4,137726,138726
"University of California, San Diego",Resp Care Spec 4,120964,136354
"University of California, Irvine",Lect-Ay-1/9,2507,2507
"University of California, San Francisco",Clin Nurse 2,181920,261042
"University of California, Davis",Nurse Pd,3189,3253
"University of California, San Diego",Teachg Asst-Gship,23679,23679
"University of California, Berkeley",Lect-Fy,6134,6134
"University of California, Riverside",Postdoc-Employee,10193,10193
"University of California, Davis",Industry Allns Spec 5,118868,121432
"University of California, Los Angeles",Recr Prg Leader 4,62419,62898
"University of California, San Francisco",Clin Doc Spec 4,0,1138
"University of California, Santa Barbara",IT Architect 4,130108,130108
"University of California, San Diego",Stdt Svc Advisor 3,58160,60160
"University of California, San Diego",Stdt 4,9260,9263
"University of California, Santa Barbara",Asst Prof-Ay,92200,123700
"University of California, San Diego",Lect-Ay-1/9,4816,4816
"University of California, Riverside",Resid Phys I/Non Rep,27086,27086
"University of California, Los Angeles",Assoc In __ -Ay-1/9-Gship,20812,33124
"University of California, San Francisco",SRA 4,69235,69235
"University of California, Irvine",Stdt 4,1509,1511
"University of California, Santa Barbara",Stdt 1,6638,11403
"University of California, San Diego",SRA 4,19440,23300
"University of California, San Francisco",Assoc Prof In Res-Hcomp,125201,181667
"University of California, San Diego",Clin Nurse 2,115766,125323
"University of California, Los Angeles",Teachg Asst-Gship,11654,11654
"University of California, Los Angeles",Progr Anl 2,64750,67100
"University of California, Los Angeles",Hosp Blank Ast 3,64501,66967
"University of California, San Diego",Blank Ast 3,33391,36391
"University of California, Los Angeles",Vis Asst Proj Scientist,5001,5001
"University of California, Irvine",Jr Specialist Nex,0,3579
"University of California, Davis",Stdt 2,1274,1274
"University of California, Santa Cruz",Teacher-Unex-Contract Yr,0,35470
"University of California, Irvine",IT Scrty Anl 4,139627,163448
"University of California, Irvine",Clin Nurse 4,146578,180664
"University of California, Irvine",Gsr-Tuit & Fee Rem,10056,10056
"University of California, San Francisco",Clin Nurse 2,166834,209029
"University of California, Irvine",Assoc Prof-Ay,106417,107417
"University of California, San Diego",Resp Care Pract Tchn,66286,70763
"University of California, Irvine",Recall Faculty,11460,11460
"University of California, Santa Barbara",Gsr-Tuit & Fee Rem,19007,19007
"University of California, San Francisco",Case Mgr Ex,168630,176405
"University of California, Los Angeles",Postdoc-Employee,58311,58311
"University of California, Berkeley",Stdt 2,3503,3503
"University of California, Riverside",Stdt 1,12070,12070
"University of California, Davis",Specialist,79200,79200
"University of California, San Francisco",Rsch Adm 2,7738,8449
"University of California, Berkeley",Fundraiser 3,28361,28361
"University of California, San Francisco",Tchn,29212,34662
"University of California, Berkeley",Assoc Prof-Ay,146333,146333
"University of California, San Diego",Teachg Asst-Gship,24673,31513
"University of California, San Diego",Stdt 2,6043,6043
"University of California, Los Angeles",Pat Transport Tchn 2 Pd,2885,2923
"University of California, Irvine",Lect Psoe-Ay,93367,101264
"University of California, Davis",Rsch And Dev Engr Supv 2,114329,114329
"University of California, San Diego",Cmty Educ Spec 1,3839,3847
"University of California, Irvine",Teacher-Unex-Contract Yr,0,60000
"University of California, San Diego",Physcn Ast Sr,175497,185849
"University of California, San Diego",Surgical Tchn Sr,80967,95656
"University of California, Irvine",Gsr-Full Fee Rem,28250,28250
"University of California, Davis",Stdt 3,2378,2378
"University of California, Irvine",Admissions Evaluator 3,0,9306
"University of California, San Diego",Stdt Life Dev Spec 2,56686,57636
"University of California, Los Angeles",HR Supv 2,159278,159278
"University of California, Irvine",Prof-Hcomp,222317,861467
"University of California, Los Angeles",Stdt Researcher,5280,5280
"University of California, Berkeley",Custodian,55586,78136
"University of California, Los Angeles",Voc Nurse Sr,67149,68644
"University of California, Merced",Postdoc-Employee,26444,26444
"University of California, Los Angeles",Blank Ast 3,26274,26274
"University of California, Berkeley",Specialist,109275,109275
"University of California, Santa Barbara",Stdt Volunteer,0,67
"University of California, Davis",Lect-Ay,55100,61364
"University of California, Berkeley",Stdt 2,1063,1063
"University of California, San Diego",Stdt 3,1432,1436
"University of California, San Diego",Child Dev Ctr Teacher 1,40576,41818
"University of California, Los Angeles",Stdt 3,1120,1120
"University of California, Santa Barbara",Academic Coord II-Fy,117229,117229
"University of California, Davis",Gsr-Full Fee Rem,30187,30187
"University of California, Berkeley",Acad HR Anl 3,78226,78226
"University of California, Los Angeles",Med Ctr Custodian Sr,38717,44927
"University of California, Davis",Stdt 2,4050,4050
"University of California, Berkeley",Clin Nurse 3,125630,126358
"University of California, San Diego",Reader-Gship,1778,1778
"University of California, San Francisco",Specialist,121100,121100
"University of California, Los Angeles",Residential Svc Mech Ld,13561,15054
"University of California, Riverside",Teachg Asst-Gship,7293,7293
"University of California, San Francisco",Clin Rsch Crd,68303,68303
"University of California, Los Angeles",Clin Nurse 2,141756,145638
"University of California, Los Angeles",Clin Nurse 3,163842,183384
"University of California, Los Angeles",Assoc Prof In Res-Hcomp,162894,271094
"University of California, Davis",Blank Ast 4,9194,9194
"University of California, San Francisco",Clin Nurse 3,166065,174423
"University of California, Santa Barbara",Remd Tut I-Non Gship,518,518
"University of California, San Francisco",Resid Phys II-Viii/Rep,66453,94405
"University of California, Irvine",Teacher-Unex-Contract Yr,0,2400
"University of California, Santa Cruz",Asst Prof-Ay,52867,81225
"University of California, San Francisco",Pat Navgtr Non-Clin 3,82742,90894
"University of California, Berkeley",Teachg Asst-1/10-Gship,9163,9163
"University of California, Los Angeles",Food Svc Mgr Prn,13606,75125
"University of California, San Diego",Stdt 3,2001,2001
"University of California, San Francisco",Admin Mgr 1,124173,130413
"University of California, Berkeley",Lect-Ay-1/10,10788,10788
"University of California, Los Angeles",Recr Prg Instr 2,3278,3278
"University of California, Davis",Emergency Trauma Tchn Sr,45655,50362
"University of California, Berkeley",Blank Ast 3,62166,62666
"University of California, San Diego",Postdoc-Employee,63020,63020
"University of California, San Francisco",Prof In Res-Hcomp,191958,534843
"University of California, Riverside",Stdt 1,991,997
"University of California, Santa Barbara",Stdt 1,119,119
"University of California, San Francisco",Clin Nurse 2,85501,90713
"University of California, Davis",Pat Biller 3,58950,59988
"University of California, Davis",Bus Tchl Supp Anl 3 Tx,74838,74838
"University of California, Santa Barbara",Stdt 1,477,477
"University of California, Irvine",Teachg Asst-Gship,30246,30246
"University of California, Santa Barbara",Stdt 1,1740,1740
"University of California, Davis",Stdt 2,142,142
"University of California, Davis",Rsch Data Anl 4,76358,76358
"University of California, Irvine",Librarian-Career Status,115623,115623
"University of California, Santa Cruz",Physcn Shs Mgr 2,253128,278136
"University of California, San Francisco",Admin Ofcr 2,18746,21984
"University of California, San Francisco",Clin Nurse 2,149354,165051
"University of California, San Diego",Lab Ast 2,14373,14860
"University of California, Irvine",Act Prof-Ay-Law,80117,127895
"University of California, Santa Barbara",Applications Progr 3,92138,92138
"University of California, San Diego",Teachg Asst-Gship,7674,12439
"University of California, Davis",Rsch Data Anl 3,70421,71380
"University of California, Berkeley",Blank Ast 3,57509,58009
"University of California, Santa Barbara",Postdoc-Employee,66062,66062
"University of California, San Francisco",Clin Lab Sci,122692,135097
"University of California, San Diego",Postdoc-Employee,4542,4542
"University of California, San Diego",Teachg Asst-Gship,14296,14296
"University of California, Los Angeles",Stdt Recr 1,3540,3550
"University of California, Davis",Sra 2,50611,59866
"University of California, Davis",Gsr-Full Fee Rem,15949,21151
"University of California, Berkeley",Assoc In __ -Ay-1/10-Gship,14310,17113
"University of California, San Diego",Pat Biller 3,62313,64487
"University of California, Riverside",Teacher-Unex-Contract Yr,0,540
"University of California, San Diego",Blank Ast 3,50528,62882
"University of California, Merced",Assoc Prof-Ay,120417,153372
"University of California, San Francisco",Nurse Svc Supv 2,211451,235293
"University of California, San Francisco",Prof-Hcomp,338083,388861
"University of California, Los Angeles",Lab Ast 2,23408,23601
"University of California, Irvine",Stdt Svc Advisor 1,17824,17824
"University of California, Davis",Tut-Non Gship,1878,1878
"University of California, San Diego",Stdt 4,45,45
"University of California, Los Angeles",Clin Care Partner Pd,2436,2448
"University of California, Los Angeles",Assoc In __ -Ay-1/9-Gship,27018,27018
"University of California, San Diego",Teachg Asst-Gship,3761,3761
"University of California, Los Angeles",Stdt 1,469,469
"University of California, San Diego",Resid Phys/Subspec 4-8/Rep,39532,42532
"University of California, San Diego",Curriculum Plnr 2,53938,56438
"University of California, Los Angeles",Mgt Svc Ofcr 1,55490,55990
"University of California, Davis",Prof Of Clin-Sft-Vm,195067,212434
"University of California, San Diego",Recr Prg Instr 2,0,490
"University of California, Davis",Teachg Asst-Gship,5166,5166
"University of California, Davis",Bus Tchl Supp Anl 3 Tx,89111,94515
"University of California, San Diego",Stdt 4,12743,12944
"University of California, Berkeley",Audit Profl 4,106949,106949
"University of California, Davis",Oth Post-Md Train 2-8/Non Rep,43093,50874
"University of California, Davis",Decision Supp Spec 3,103426,112840
"University of California, Irvine",Hs Assoc Clin Prof-Hcomp,144306,341012
"University of California, Los Angeles",Tut-Gship,15899,15899
"University of California, Berkeley",Proj Scientist-Fy Non Rep,148108,148108
"University of California, San Francisco",Clin Rsch Crd Ast,39667,39774
"University of California, San Diego",Clin Rsch Crd Ast,65770,66736
"University of California, Davis",Teacher-Unex-Contract Yr,0,1600
"University of California, Berkeley",Skld Crafts Trades Mgr 2,157793,157793
"University of California, Davis",Financial Aid Ofcr 3,58421,58421
"University of California, Berkeley",Reader-Non Stdnt,5620,5620
"University of California, San Diego",Stdt 3 Wksty,656,656
"University of California, Los Angeles",Gsr-Partial Fee Rem,44504,44504
"University of California, Davis",Bus Sys Anl 4,84107,84532
"University of California, Berkeley",Project Policy Anl 3,90514,91014
"University of California, San Francisco",Postdoc-Fellow,7420,34920
"University of California, Davis",Postdoc-Employee,28245,28245
"University of California, Berkeley",Gsr-Full Fee Rem,32256,32256
"University of California, Irvine",Teachg Asst-Gship,10106,10106
"University of California, Davis",Occupational Ther Cert Ast 2,38618,42188
"University of California, Berkeley",Gsr-Full Fee Rem,10145,10145
"University of California, Berkeley",Project Policy Anl 2,50044,50044
"University of California, Los Angeles",Assoc Prof-Ay,116983,116983
"University of California, Davis",Asst Prof-Hcomp,105633,110533
"University of California, Santa Barbara",Stdt 1,749,749
"University of California, San Diego",Postdoc-Employee,24168,24168
"University of California, Davis",Postdoc-Employee,59477,59477
"University of California, Santa Cruz",Remd Tut I-Non Gship,1510,1510
"University of California, Irvine",Prof-Ay,93713,93713
"University of California, Berkeley",Assoc Fld Prog Supv,14633,14633
"University of California, San Diego",Stdt 2,868,884
"University of California, Berkeley",Stdt 2,36,36
"University of California, Davis",Stdt 2,5821,5821
"University of California, Davis",Auto Equip Opr Sr,54021,57970
"University of California, Berkeley",Lect-Ay-1/10,8962,8962
"University of California, Los Angeles",Phlebotomist Cert Tchn 2,53575,62843
"University of California, San Francisco",Postdoc-Employee,56235,56235
"University of California, Berkeley",Alumni External Rel Spec 3,10520,10520
"University of California, Berkeley",Blank Ast 3,61546,64072
"University of California, San Francisco",HS Asst Clin Prof-Hcomp,123425,210833
"University of California, Los Angeles",Asst Adj Prof-Ay-B/E/E,205217,238550
"University of California, San Diego",Hosp Blank Ast 3,59455,61921
"University of California, Los Angeles",Stdt 3,931,931
"University of California, Davis",Blank Ast 3,52824,52824
"University of California, Los Angeles",Stdt 2,3943,3943
"University of California, Riverside",Prof-Ay,133550,133550
"University of California, Riverside",Teacher-Unex-Contract Yr,0,3600
"University of California, Irvine",Hs Asst Clin Prof-Fy,63348,63348
"University of California, San Diego",Population Health Mgr 1,135387,136387
"University of California, Santa Barbara",Stdt 1,1778,1778
"University of California, Riverside",Prof-Ay,208975,237353
"University of California, Berkeley",Stdt 2,1395,1395
"University of California, San Francisco",Resp Care Supv 2,113442,137572
"University of California, Berkeley",Project Policy Anl 3,84548,85048
"University of California, Davis",Blank Ast 3,29708,29727
"University of California, Irvine",Stdt 4,2280,2280
"University of California, San Francisco",Postdoc-Employee,56478,56478
"University of California, San Diego",Gsr-No Rem,8341,8341
"University of California, Davis",Spc Stdt Bya,0,1106
"University of California, Merced",Stdt 2,3038,3038
"University of California, San Diego",Hosp Blank Ast 3,61135,63918
"University of California, Los Angeles",Res-Fy,134467,134467
"University of California, Davis",Reader-Non Gship,123,123
"University of California, San Diego",Third Engr Ast,5181,7610
"University of California, San Francisco",Gi Endoscopy Tchn 2,84918,93509
"University of California, Berkeley",Stdt 2,3631,3631
"University of California, Riverside",Agron Aes,220800,220800
"University of California, Los Angeles",Admin Anl Ast,59347,63559
"University of California, Berkeley",Financial Anl 4,114769,115269
"University of California, San Francisco",Financial Anl 4,140957,147935
"University of California, Santa Cruz",Food Svc Supv 2,61407,65862
"University of California, Irvine",Admissions Evaluator 3,0,1058
"University of California, Irvine",Clin Nurse 2,109774,134526
"University of California, Davis",Teachg Asst-Gship,5166,5166
"University of California, Berkeley",Tut-Gship,525,525
"University of California, Merced",Stdt 3,2934,2934
"University of California, Irvine",Teachg Asst-Gship,17554,17554
"University of California, San Diego",Coach Ast 3,91125,92996
"University of California, Davis",Stdt 3,367,367
"University of California, Berkeley",Gsr-Partial Fee Rem,1493,1493
"University of California, San Francisco",Blank Ast 3,24239,26837
"University of California, Riverside",Gsr-Partial Fee Rem,29436,31147
"University of California, Los Angeles",Alumni External Rel Spec 3,36830,37592
"University of California, Los Angeles",Phys Ther Ast Pd,24302,24794
"University of California, Los Angeles",Stdt 3,3373,3373
"University of California, Los Angeles",Camp Cnslr L3,0,7916
"University of California, Davis",Custodial HC Supv 2,47957,47957
"University of California, Davis",Pat Supp Svc Supv 1,62136,64585
"University of California, San Diego",Course Author-Unex,0,2000
"University of California, Davis",Tchl Project Mgt Profl 3,51735,66164
"University of California, Los Angeles",Asst Prof-Ay-B/E/E,227467,278356
"University of California, San Francisco",Blank Ast 3,76717,78388
"University of California, Davis",Stdt 3,976,976
"University of California, Los Angeles",Admin Spec,8781,10856
"University of California, San Diego",Clin Nurse 2,130300,154594
"University of California, San Francisco",HS Assoc Clin Prof-Fy,0,500
"University of California, Irvine",Teachg Asst-Gship,29652,29652
"University of California, San Diego",Gsr-Tuit & Fee Rem,34504,34504
"University of California, Los Angeles",Rad Ther Tchno Sr,146816,168366
"University of California, Berkeley",Blank Ast 3,51641,53382
"University of California, Los Angeles",Interventional Radlg Tchno,119576,155840
"University of California, San Diego",Gsr-Tuit & Fee Rem-UCSD-Grp F,33408,33408
"University of California, Davis",Teachg Asst-Gship,22734,30941
"University of California, Davis",Med Ctr Cook Sr,57835,63324
"University of California, San Diego",Stdt 4,2728,2728
"University of California, San Diego",Recall Hcomp,606,606
"University of California, Los Angeles",Stdt 4,201,201
"University of California, Irvine",Prof In Res-Hcomp,99838,99838
"University of California, San Diego",Lab Ast 2,9617,9836
"University of California, Los Angeles",Teachg Fellow-Gship,26637,31449
"University of California, Los Angeles",Stdt 2 Wksty,168,168
"University of California, San Diego",Radlg Svc Supv 2,126917,138394
"University of California, Los Angeles",Teacher-Unex-Contract Yr,0,5204
"University of California, San Francisco",Admin Ofcr 4,116438,117438
"University of California, Los Angeles",Oth Post Dds/Rep,38773,48773
"University of California, Berkeley",Stdt 3,333,333
"University of California, Santa Barbara",Assoc Specialist,73217,73217
"University of California, Berkeley",Postdoc-Employee,34020,34020
"University of California, Los Angeles",Stdt 1,6488,6488
"University of California, Los Angeles",Electrn,89733,95375
"University of California, Los Angeles",Special Reader-Ucla-Gship,858,858
"University of California, Los Angeles",Financial Svc Supv 1,94406,94156
"University of California, Davis",Stdt 3,777,777
"University of California, San Diego",Clin Applications Profl 4,147158,148158
"University of California, Berkeley",Custodian,52840,56862
"University of California, Davis",Stdt 2,1241,1241
"University of California, Los Angeles",Lab Ast 1,35577,35577
"University of California, Los Angeles",Clin Nurse 3,174685,195537
"University of California, Los Angeles",Teachg Fellow-Gship,26637,26637
"University of California, Los Angeles",Stdt Disability Spec 2,48048,48216
"University of California, Santa Cruz",Stdt 4,1941,1941
"University of California, San Francisco",Project Policy Anl 2,57200,61803
"University of California, Santa Barbara",Stdt 1,809,809
"University of California, Los Angeles",Gsr-Partial Fee Rem,32746,32746
"University of California, Irvine",Anesthetist Nurse Sr Nex,237346,266701
"University of California, Los Angeles",Fac Mech,25022,25704
"University of California, San Diego",Clin Lab Sci Spec,126922,135671
"University of California, San Diego",Clin Nurse 2,103652,109058
"University of California, Riverside",Americorp Member,0,3420
"University of California, San Diego",Stdt 3,1712,1716
"University of California, San Diego",Gsr-Tuit & Fee Rem,34532,34532
"University of California, Los Angeles",Postdoc-Employee,53921,53921
"University of California, Davis",Postdoc-Employee,54544,54544
"University of California, Riverside",Proj Scientist-Fy,51439,65511
"University of California, Irvine",Med Ast Pd,49018,50947
"University of California, Los Angeles",Resid Phys II-Viii/Rep,40303,55943
"University of California, Davis",Stdt 2,5604,5604
"University of California, Los Angeles",Stdt 3,6975,6978
"University of California, Los Angeles",Lect In Summer Session,2805,26805
"University of California, Davis",Gsr-Full Fee Rem,30186,30186
"University of California, Los Angeles",Fac Worker,55733,57016
"University of California, San Francisco",Prof In Res-Hcomp,266376,379115
"University of California, San Francisco",Blank Ast 1,14392,14711
"University of California, Berkeley",Assoc In __ -Ay-1/10-Gship,24097,32395
